Date, Open, High, Low, Close
08/29/25, 45590.96, 45616.16, 45377.21, 45544.88
08/28/25, 45581.03, 45682.83, 45442.68, 45636.90
08/27/25, 45417.46, 45621.08, 45372.78, 45565.23
08/26/25, 45236.83, 45437.62, 45192.29, 45418.07
08/25/25, 45605.25, 45605.25, 45273.09, 45282.47
08/22/25, 44952.88, 45757.84, 44952.88, 45631.74
08/21/25, 44808.21, 44892.61, 44579.03, 44785.50
08/20/25, 44922.70, 45033.75, 44767.97, 44938.31
08/19/25, 44952.36, 45207.39, 44816.50, 44922.27
08/18/25, 44963.17, 44998.83, 44868.32, 44911.82
08/15/25, 45159.91, 45203.52, 44897.98, 44946.12
08/14/25, 44890.84, 44948.70, 44690.50, 44911.26
08/13/25, 44571.53, 44949.12, 44571.53, 44922.27
08/12/25, 44050.53, 44497.59, 44050.53, 44458.61
08/11/25, 44184.36, 44273.03, 43911.31, 43975.09
08/08/25, 44044.95, 44272.75, 44028.94, 44175.61
08/07/25, 44430.09, 44498.43, 43799.20, 43968.64
08/06/25, 44196.61, 44290.09, 44017.71, 44193.12
08/05/25, 44200.07, 44308.50, 43923.81, 44111.74
08/04/25, 43724.02, 44188.36, 43724.02, 44173.64
08/01/25, 43781.77, 43781.77, 43340.68, 43588.58
07/31/25, 44665.82, 44665.82, 44049.01, 44130.98
07/30/25, 44677.90, 44739.53, 44261.71, 44461.28
07/29/25, 44833.74, 44883.66, 44568.83, 44632.99
07/28/25, 44946.98, 44946.98, 44739.96, 44837.56
07/25/25, 44757.28, 44944.46, 44650.59, 44901.92
07/24/25, 44776.41, 44912.27, 44674.57, 44693.91
07/23/25, 44661.12, 45016.71, 44638.44, 45010.29
07/22/25, 44338.62, 44542.53, 44272.60, 44502.44
07/21/25, 44368.40, 44601.85, 44311.42, 44323.07
07/18/25, 44571.68, 44571.68, 44224.59, 44342.19
07/17/25, 44229.88, 44558.05, 44200.04, 44484.49
07/16/25, 44152.74, 44260.19, 43758.98, 44254.78
07/15/25, 44459.84, 44504.27, 44002.39, 44023.29
07/14/25, 44346.15, 44472.13, 44237.28, 44459.65
07/11/25, 44480.77, 44480.77, 44275.25, 44371.51
07/10/25, 44427.75, 44775.47, 44372.92, 44650.64
07/09/25, 44327.13, 44556.68, 44225.88, 44458.30
07/08/25, 44378.58, 44436.96, 44201.37, 44240.76
07/07/25, 44803.36, 44803.36, 44160.32, 44406.36
07/03/25, 44565.75, 44885.83, 44550.42, 44828.53
07/02/25, 44455.66, 44557.82, 44354.01, 44484.42
07/01/25, 44061.49, 44604.15, 44013.54, 44494.94
06/30/25, 44020.66, 44138.69, 43889.16, 44094.77
06/27/25, 43505.60, 43966.37, 43505.60, 43819.27
06/26/25, 43084.07, 43430.99, 43084.07, 43386.84
06/25/25, 43130.33, 43130.33, 42871.50, 42982.43
06/24/25, 42807.13, 43183.48, 42794.08, 43089.02
06/23/25, 42178.55, 42609.47, 41981.14, 42581.78
06/20/25, 42291.09, 42432.19, 42089.99, 42206.82
06/18/25, 42236.03, 42510.07, 42118.23, 42171.66
06/17/25, 42358.62, 42530.83, 42132.65, 42215.80
06/16/25, 42300.13, 42707.73, 42300.13, 42515.09
06/13/25, 42579.48, 42602.48, 42081.09, 42197.79
06/12/25, 42737.36, 42970.40, 42606.42, 42967.62
06/11/25, 42882.86, 43115.69, 42738.62, 42865.77
06/10/25, 42738.27, 42925.94, 42710.09, 42866.87
06/09/25, 42786.19, 42893.09, 42567.55, 42761.76
06/06/25, 42631.82, 42924.56, 42582.55, 42762.87
06/05/25, 42487.89, 42601.45, 42211.69, 42319.74
06/04/25, 42574.13, 42645.00, 42427.74, 42427.74
06/03/25, 42304.50, 42568.38, 42186.44, 42519.64
